epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.571,1.38024,1.16527,1.89439,1.4292,0.3462,0.4769,0.33979,0.1359,0.1879,0.2803,0.12907,0.02956,1.93174,1.38475,2.33791,1.91734,0.000664481,0.000664481,0.000664481
2,515.268,1.4468,1.17144,1.81602,1.46298,0.55274,0.54165,0.49464,0.24634,0.37819,0.36873,0.23702,0.05915,1.64146,1.37442,1.79995,1.64775,0.00130918,0.00130918,0.00130918
3,766.87,1.41295,1.16891,1.75192,1.44368,0.4975,0.54047,0.47608,0.23976,0.37103,0.40308,0.26756,0.06792,1.63396,1.33806,1.93456,1.63982,0.00193189,0.00193189,0.00193189
4,1017.42,1.3788,1.14705,1.71868,1.42729,0.60224,0.57244,0.55889,0.29769,0.44771,0.4522,0.32849,0.08621,1.44348,1.20389,1.7645,1.487,0.001901,0.001901,0.001901
5,1264.38,1.31292,1.12088,1.63049,1.3834,0.74244,0.62298,0.67277,0.41086,0.59343,0.49901,0.43468,0.11921,1.31973,1.191,1.45403,1.39252,0.001868,0.001868,0.001868
6,1514.9,1.26427,1.09816,1.59156,1.35747,0.77837,0.64057,0.69125,0.4326,0.61356,0.50493,0.4277,0.11558,1.30374,1.22027,1.37665,1.37826,0.001835,0.001835,0.001835
7,1762.09,1.22662,1.09625,1.54245,1.34006,0.73176,0.63679,0.68057,0.4375,0.5722,0.5159,0.43441,0.1177,1.27351,1.18183,1.45855,1.37992,0.001802,0.001802,0.001802
8,2013.49,1.20375,1.07469,1.50568,1.32977,0.6987,0.65259,0.6854,0.44803,0.55364,0.49822,0.42271,0.11794,1.17534,1.15819,1.29469,1.29933,0.001769,0.001769,0.001769
9,2261.22,1.17888,1.06433,1.4784,1.31069,0.79961,0.65732,0.7499,0.51237,0.62494,0.50375,0.45506,0.12335,1.10262,1.16676,1.17466,1.24241,0.001736,0.001736,0.001736
10,2512.73,1.16577,1.06076,1.48208,1.30668,0.77752,0.68772,0.7558,0.5102,0.61733,0.51994,0.45039,0.12118,1.1263,1.17077,1.20767,1.23957,0.001703,0.001703,0.001703
11,2765.08,1.1455,1.05778,1.43969,1.29223,0.75476,0.67313,0.73614,0.49283,0.58363,0.52112,0.45422,0.12414,1.10136,1.12679,1.1889,1.22563,0.00167,0.00167,0.00167
12,3007.57,1.12625,1.03714,1.42166,1.28124,0.79337,0.65937,0.73488,0.51432,0.65286,0.5452,0.49408,0.14185,1.0721,1.10928,1.15386,1.22008,0.001637,0.001637,0.001637
13,3252.97,1.11058,1.03836,1.39497,1.27011,0.77964,0.68302,0.7612,0.53,0.63488,0.53139,0.4903,0.13866,1.06756,1.12493,1.10994,1.20778,0.001604,0.001604,0.001604
14,3500.06,1.10106,1.02857,1.39036,1.26131,0.78872,0.70786,0.77594,0.55581,0.6522,0.57596,0.52133,0.15144,0.98375,1.09124,1.06078,1.15486,0.001571,0.001571,0.001571
15,3746.73,1.07259,1.02333,1.36951,1.25533,0.7746,0.69799,0.76954,0.54681,0.65835,0.55902,0.53335,0.15266,1.00187,1.08678,1.12417,1.1581,0.001538,0.001538,0.001538
16,3995.09,1.08485,1.02086,1.3667,1.25608,0.82458,0.70944,0.79239,0.57286,0.69497,0.58556,0.55169,0.15998,0.99637,1.09407,1.03345,1.16549,0.001505,0.001505,0.001505
17,4238.84,1.06392,1.02142,1.35309,1.24877,0.77371,0.6822,0.73845,0.53186,0.58239,0.51244,0.42413,0.116,1.03261,1.18902,1.11282,1.21266,0.001472,0.001472,0.001472
18,4483.79,1.06173,1.01716,1.33829,1.25062,0.81857,0.72849,0.79022,0.59014,0.68444,0.60008,0.55111,0.16072,0.93943,1.08137,0.98201,1.12328,0.001439,0.001439,0.001439
19,4729.08,1.0529,1.01905,1.33532,1.24159,0.81881,0.72075,0.80135,0.58643,0.66162,0.58048,0.51703,0.15025,0.95239,1.09301,0.97197,1.13357,0.001406,0.001406,0.001406
20,4972.03,1.03814,0.9993,1.31041,1.23034,0.82766,0.72483,0.80363,0.60519,0.68079,0.58433,0.53786,0.1538,0.90669,1.10417,0.96661,1.11192,0.001373,0.001373,0.001373
